concurso,acutotal,vsaparecer,somatotal,sorteado
365,239,1,213,no
366,239,2,216,no
367,240,0,193,yes
368,241,0,196,yes
369,241,1,193,no
370,241,2,184,no
371,242,0,156,yes
372,242,1,213,no
373,243,0,208,yes
374,244,0,215,yes
375,245,0,190,yes
376,246,0,223,yes
377,247,0,163,yes
378,248,0,219,yes
379,248,1,198,no
380,249,0,179,yes
381,249,1,184,no
382,250,0,178,yes
383,250,1,210,no
384,250,2,206,no
385,251,0,198,yes
386,252,0,184,yes
387,253,0,193,yes
388,254,0,161,yes
389,255,0,190,yes
390,256,0,220,yes
391,256,1,196,no
392,257,0,196,yes
393,257,1,196,no
394,258,0,211,yes
395,259,0,191,yes
396,260,0,166,yes
397,261,0,157,yes
398,262,0,170,yes
399,262,1,210,no
400,262,2,228,no
401,263,0,182,yes
402,264,0,199,yes
403,265,0,190,yes
404,265,1,214,no
405,265,2,204,no
406,266,0,180,yes
407,267,0,188,yes
408,268,0,195,yes
409,269,0,198,yes
410,269,1,176,no
411,269,2,222,no
412,269,3,215,no
413,270,0,181,yes
414,271,0,188,yes
415,271,1,214,no
416,272,0,216,yes
417,273,0,184,yes
418,273,1,233,no
419,273,2,215,no
420,273,3,183,no
421,273,4,196,no
422,274,0,175,yes
423,275,0,215,yes
424,275,1,201,no
425,275,2,220,no
426,276,0,188,yes
427,276,1,170,no
428,276,2,225,no
429,277,0,174,yes
430,278,0,179,yes
431,279,0,199,yes
432,280,0,196,yes
433,281,0,198,yes
434,281,1,217,no
435,281,2,197,no
436,281,3,220,no
437,282,0,175,yes
438,282,1,218,no
439,283,0,210,yes
440,283,1,207,no
441,284,0,174,yes
442,284,1,218,no
443,285,0,187,yes
444,286,0,207,yes
445,287,0,178,yes
446,288,0,179,yes
447,289,0,220,yes
448,289,1,183,no
449,290,0,189,yes
450,290,1,222,no
451,290,2,209,no
452,290,3,201,no
453,291,0,191,yes
454,291,1,212,no
455,291,2,177,no
456,291,3,205,no
457,291,4,227,no
458,292,0,159,yes
459,293,0,179,yes
460,293,1,182,no
461,293,2,181,no
462,294,0,193,yes
463,295,0,209,yes
464,296,0,224,yes
465,297,0,171,yes
466,298,0,212,yes
467,299,0,203,yes
468,300,0,202,yes
469,301,0,184,yes
470,301,1,166,no
471,302,0,184,yes
472,303,0,153,yes
473,304,0,182,yes
474,305,0,187,yes
475,306,0,183,yes
476,306,1,192,no
477,307,0,200,yes
478,308,0,200,yes
479,309,0,218,yes
480,309,1,202,no
481,309,2,193,no
482,310,0,212,yes
483,310,1,194,no
484,310,2,198,no
485,311,0,201,yes
486,312,0,170,yes
487,312,1,199,no
488,312,2,217,no
489,313,0,207,yes
490,313,1,199,no
491,314,0,209,yes
492,315,0,183,yes
493,315,1,192,no
494,316,0,185,yes
495,316,1,184,no
496,316,2,200,no
497,317,0,169,yes
498,318,0,195,yes
499,319,0,191,yes
500,320,0,193,yes
