concurso,acutotal,vsaparecer,somatotal,sorteado
205,142,2,199,no
206,142,3,188,no
207,143,0,167,yes
208,144,0,174,yes
209,145,0,199,yes
210,145,1,211,no
211,146,0,190,yes
212,147,0,178,yes
213,148,0,197,yes
214,149,0,200,yes
215,150,0,183,yes
216,150,1,176,no
217,150,2,167,no
218,150,3,208,no
219,150,4,217,no
220,150,5,242,no
221,151,0,190,yes
222,152,0,178,yes
223,152,1,208,no
224,152,2,213,no
225,153,0,195,yes
226,153,1,216,no
227,154,0,198,yes
228,154,1,220,no
229,154,2,201,no
230,155,0,155,yes
231,156,0,198,yes
232,156,1,218,no
233,157,0,141,yes
234,158,0,173,yes
235,159,0,236,yes
236,160,0,184,yes
237,160,1,210,no
238,161,0,203,yes
239,162,0,188,yes
240,163,0,198,yes
241,163,1,213,no
242,163,2,208,no
243,164,0,187,yes
244,164,1,197,no
245,165,0,189,yes
246,166,0,189,yes
247,167,0,185,yes
248,168,0,187,yes
249,168,1,210,no
250,169,0,184,yes
251,169,1,209,no
252,169,2,211,no
253,170,0,185,yes
254,170,1,156,no
255,171,0,187,yes
256,172,0,183,yes
257,173,0,191,yes
258,173,1,213,no
259,173,2,212,no
260,174,0,162,yes
261,175,0,182,yes
262,175,1,196,no
263,176,0,200,yes
264,177,0,202,yes
265,178,0,208,yes
266,179,0,179,yes
267,179,1,179,no
268,179,2,207,no
269,180,0,204,yes
270,181,0,182,yes
271,182,0,192,yes
272,183,0,189,yes
273,184,0,216,yes
274,184,1,192,no
275,185,0,171,yes
276,185,1,188,no
277,185,2,223,no
278,186,0,182,yes
279,187,0,171,yes
280,187,1,197,no
281,188,0,173,yes
282,188,1,198,no
283,189,0,184,yes
284,190,0,200,yes
285,191,0,182,yes
286,192,0,184,yes
287,192,1,212,no
288,193,0,175,yes
289,194,0,166,yes
290,195,0,183,yes
291,196,0,182,yes
292,196,1,195,no
293,197,0,206,yes
294,198,0,176,yes
295,198,1,216,no
296,198,2,195,no
297,199,0,211,yes
298,200,0,177,yes
299,200,1,216,no
300,200,2,216,no
301,200,3,206,no
302,200,4,189,no
303,200,5,211,no
304,201,0,212,yes
305,201,1,198,no
306,202,0,183,yes
307,203,0,198,yes
308,204,0,220,yes
309,205,0,184,yes
310,205,1,207,no
311,205,2,213,no
312,206,0,189,yes
313,206,1,196,no
314,207,0,178,yes
315,207,1,202,no
316,208,0,177,yes
317,209,0,199,yes
318,209,1,195,no
319,210,0,186,yes
320,211,0,216,yes
321,211,1,198,no
322,212,0,197,yes
323,213,0,181,yes
324,214,0,166,yes
325,215,0,197,yes
326,216,0,173,yes
327,217,0,186,yes
328,217,1,217,no
329,218,0,202,yes
330,219,0,212,yes
331,220,0,206,yes
332,220,1,202,no
333,221,0,191,yes
334,222,0,205,yes
335,223,0,168,yes
336,224,0,174,yes
337,225,0,168,yes
338,225,1,193,no
339,226,0,217,yes
340,226,1,179,no
341,227,0,223,yes
342,228,0,213,yes
343,228,1,207,no
344,228,2,194,no
345,228,3,236,no
346,229,0,179,yes
347,229,1,200,no
348,230,0,215,yes
349,231,0,210,yes
350,232,0,164,yes
351,233,0,182,yes
352,234,0,185,yes
353,234,1,205,no
354,235,0,189,yes
355,235,1,182,no
356,235,2,209,no
357,236,0,184,yes
358,236,1,206,no
359,236,2,227,no
360,237,0,171,yes
361,238,0,204,yes
362,239,0,167,yes
363,239,1,190,no
364,239,2,188,no
365,239,3,213,no
366,239,4,216,no
367,240,0,193,yes
368,240,1,196,no
369,241,0,193,yes
370,241,1,184,no
371,242,0,156,yes
372,242,1,213,no
373,242,2,208,no
374,243,0,215,yes
375,244,0,190,yes
376,244,1,223,no
377,245,0,163,yes
378,245,1,219,no
379,245,2,198,no
380,245,3,179,no
381,246,0,184,yes
382,246,1,178,no
383,246,2,210,no
384,247,0,206,yes
385,248,0,198,yes
386,249,0,184,yes
387,249,1,193,no
388,250,0,161,yes
389,250,1,190,no
390,250,2,220,no
391,251,0,196,yes
392,252,0,196,yes
393,253,0,196,yes
394,253,1,211,no
395,254,0,191,yes
396,255,0,166,yes
397,256,0,157,yes
398,256,1,170,no
399,257,0,210,yes
400,258,0,228,yes
401,259,0,182,yes
402,260,0,199,yes
403,260,1,190,no
404,261,0,214,yes
405,261,1,204,no
406,262,0,180,yes
407,262,1,188,no
408,263,0,195,yes
409,264,0,198,yes
410,265,0,176,yes
411,266,0,222,yes
412,266,1,215,no
413,266,2,181,no
414,266,3,188,no
415,267,0,214,yes
416,268,0,216,yes
417,269,0,184,yes
418,269,1,233,no
419,269,2,215,no
420,269,3,183,no
421,269,4,196,no
422,270,0,175,yes
423,271,0,215,yes
424,272,0,201,yes
425,273,0,220,yes
426,273,1,188,no
427,274,0,170,yes
428,275,0,225,yes
429,275,1,174,no
430,275,2,179,no
431,276,0,199,yes
432,276,1,196,no
433,277,0,198,yes
434,277,1,217,no
435,278,0,197,yes
436,278,1,220,no
437,279,0,175,yes
438,280,0,218,yes
439,280,1,210,no
440,281,0,207,yes
441,282,0,174,yes
442,282,1,218,no
443,283,0,187,yes
444,284,0,207,yes
445,285,0,178,yes
446,286,0,179,yes
447,287,0,220,yes
448,288,0,183,yes
449,289,0,189,yes
450,289,1,222,no
451,290,0,209,yes
452,291,0,201,yes
453,292,0,191,yes
454,292,1,212,no
455,293,0,177,yes
456,294,0,205,yes
457,295,0,227,yes
458,295,1,159,no
459,296,0,179,yes
460,297,0,182,yes
461,297,1,181,no
462,298,0,193,yes
463,298,1,209,no
464,299,0,224,yes
465,300,0,171,yes
466,300,1,212,no
467,300,2,203,no
468,300,3,202,no
469,301,0,184,yes
470,302,0,166,yes
471,302,1,184,no
472,303,0,153,yes
473,304,0,182,yes
474,305,0,187,yes
475,305,1,183,no
476,306,0,192,yes
477,306,1,200,no
478,306,2,200,no
479,306,3,218,no
480,306,4,202,no
481,307,0,193,yes
482,307,1,212,no
483,308,0,194,yes
484,309,0,198,yes
485,309,1,201,no
486,310,0,170,yes
487,310,1,199,no
488,310,2,217,no
489,311,0,207,yes
490,311,1,199,no
491,312,0,209,yes
492,313,0,183,yes
493,314,0,192,yes
494,314,1,185,no
495,315,0,184,yes
496,315,1,200,no
497,316,0,169,yes
498,317,0,195,yes
499,318,0,191,yes
500,318,1,193,no
501,319,0,199,yes
502,320,0,163,yes
503,321,0,181,yes
504,322,0,214,yes
505,322,1,212,no
506,322,2,214,no
507,323,0,180,yes
508,323,1,194,no
509,324,0,205,yes
510,325,0,180,yes
511,326,0,199,yes
512,327,0,153,yes
513,328,0,195,yes
514,329,0,201,yes
515,329,1,190,no
516,329,2,188,no
517,330,0,162,yes
518,330,1,200,no
519,330,2,217,no
520,330,3,203,no
521,331,0,155,yes
522,331,1,224,no
523,331,2,193,no
524,331,3,197,no
525,331,4,210,no
526,332,0,177,yes
527,333,0,196,yes
528,333,1,190,no
529,333,2,206,no
530,333,3,184,no
531,334,0,201,yes
532,335,0,166,yes
533,336,0,191,yes
534,337,0,181,yes
535,338,0,209,yes
536,338,1,220,no
537,339,0,196,yes
538,339,1,219,no
539,340,0,168,yes
540,340,1,202,no
541,340,2,206,no
542,341,0,172,yes
543,342,0,208,yes
544,342,1,193,no
545,343,0,194,yes
546,343,1,175,no
547,344,0,184,yes
548,345,0,157,yes
549,345,1,205,no
550,346,0,190,yes
551,346,1,224,no
552,347,0,193,yes
553,347,1,200,no
554,348,0,200,yes
555,349,0,187,yes
556,350,0,225,yes
557,351,0,199,yes
558,352,0,203,yes
559,353,0,193,yes
560,354,0,219,yes
561,354,1,168,no
562,355,0,193,yes
563,356,0,182,yes
564,357,0,191,yes
565,358,0,206,yes
566,359,0,172,yes
567,360,0,183,yes
568,361,0,162,yes
569,362,0,210,yes
570,363,0,189,yes
571,363,1,206,no
572,363,2,201,no
573,364,0,208,yes
574,365,0,226,yes
575,365,1,212,no
576,365,2,223,no
577,366,0,179,yes
578,367,0,191,yes
579,368,0,180,yes
580,369,0,187,yes
581,369,1,209,no
582,369,2,211,no
583,370,0,195,yes
584,370,1,186,no
585,371,0,200,yes
586,371,1,194,no
587,372,0,190,yes
588,373,0,213,yes
589,373,1,202,no
590,374,0,180,yes
591,375,0,188,yes
592,376,0,183,yes
593,377,0,183,yes
594,377,1,192,no
595,378,0,190,yes
596,378,1,206,no
597,379,0,185,yes
598,380,0,197,yes
599,380,1,202,no
600,381,0,193,yes
601,382,0,171,yes
602,383,0,172,yes
603,383,1,196,no
604,384,0,207,yes
605,384,1,189,no
606,384,2,205,no
607,384,3,233,no
608,385,0,181,yes
609,386,0,188,yes
610,387,0,176,yes
611,387,1,181,no
612,388,0,184,yes
613,388,1,203,no
614,389,0,199,yes
615,390,0,216,yes
616,391,0,217,yes
617,392,0,188,yes
618,393,0,182,yes
619,394,0,202,yes
620,395,0,197,yes
621,396,0,178,yes
622,396,1,153,no
623,397,0,170,yes
624,398,0,173,yes
625,399,0,185,yes
626,400,0,167,yes
627,401,0,199,yes
628,401,1,189,no
629,402,0,179,yes
630,403,0,208,yes
631,403,1,182,no
632,404,0,212,yes
633,404,1,210,no
634,404,2,185,no
635,405,0,179,yes
636,406,0,189,yes
637,406,1,222,no
638,407,0,203,yes
639,408,0,179,yes
640,409,0,199,yes
641,409,1,199,no
642,410,0,191,yes
643,411,0,196,yes
644,411,1,179,no
645,411,2,224,no
646,412,0,206,yes
647,412,1,216,no
648,412,2,194,no
649,413,0,169,yes
650,414,0,221,yes
651,415,0,199,yes
652,415,1,205,no
653,416,0,198,yes
654,417,0,212,yes
655,417,1,217,no
656,417,2,195,no
657,417,3,186,no
658,418,0,192,yes
659,419,0,170,yes
660,419,1,184,no
661,420,0,208,yes
662,421,0,166,yes
663,421,1,199,no
664,422,0,206,yes
665,422,1,219,no
666,423,0,196,yes
667,423,1,208,no
668,424,0,205,yes
669,424,1,221,no
670,425,0,226,yes
671,425,1,196,no
672,426,0,199,yes
673,426,1,166,no
674,426,2,230,no
675,426,3,186,no
676,426,4,200,no
677,427,0,173,yes
678,427,1,213,no
679,427,2,209,no
680,427,3,192,no
681,427,4,168,no
682,428,0,183,yes
683,429,0,150,yes
684,430,0,206,yes
685,431,0,228,yes
686,432,0,205,yes
687,433,0,194,yes
688,434,0,188,yes
689,434,1,172,no
690,435,0,196,yes
691,436,0,179,yes
692,437,0,197,yes
693,438,0,162,yes
694,439,0,195,yes
695,439,1,218,no
696,440,0,192,yes
697,441,0,208,yes
698,441,1,187,no
699,441,2,201,no
700,442,0,191,yes
701,442,1,227,no
702,443,0,150,yes
703,443,1,235,no
704,443,2,189,no
705,443,3,193,no
706,444,0,194,yes
707,444,1,203,no
708,445,0,182,yes
709,446,0,195,yes
710,446,1,222,no
711,447,0,176,yes
712,448,0,225,yes
713,448,1,207,no
714,448,2,188,no
